PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=51.6 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=51.0 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=80.2 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=49.9 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=58.8 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=76.2 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=43.6 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=77.6 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=66.7 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=53.9 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=40.6 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=43.3 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=43.5 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=70.1 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=60.0 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=68.6 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=73.8 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=47.5 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=65.7 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=60.1 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=70.0 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=70.0 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=40.6 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=40.7 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=40.4 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=41.0 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=46.8 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=40.6 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=40.9 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=40.3 ms
